"transaction_id","user_id","amount","payment_date","payment_status"
"05f2462d-7356-4f8d-800b-628d5933ea9a",3,9.99,2024-02-12,completed
"4ce8ecca-1a42-4484-912e-31e468dded3b",24,9.99,2024-02-14,completed
"4deeb81b-811a-4aba-8789-22e8c24096d5",76,9.99,2024-01-31,completed
bc3eafec-7cbd-40c5-9428-46d54b264be0,89,9.99,2024-02-05,completed
c54141e5-19dc-49d0-ae15-88db33529055,205,9.99,2024-03-09,completed
"2980a04b-fd7f-4b1e-a0f7-4be3d1f88c6d",311,9.99,2024-02-06,completed
"3ee2de6e-ba9c-4219-82ef-089d01d6c295",332,9.99,2024-01-18,completed
"1ee63c86-b36e-4cbb-ac07-3db70589ff64",333,9.99,2024-01-16,completed
bd3a48cb-4891-44b3-ab07-22eb12b18401,383,9.99,2024-02-14,completed
"665aad9a-2c5a-450b-94a6-195122581200",551,9.99,2024-01-20,completed
f33a34ed-9628-4ad6-bde2-f4821252b96f,552,9.99,2024-02-02,completed
eee92a8f-03ff-46c1-9cf7-a89814331f9b,650,9.99,2024-01-24,completed
d2e57b50-ff26-470e-bb88-c3a201f2e224,787,9.99,2024-02-24,completed
cc5d4a72-e3fa-4de1-8945-b32ed7996247,846,9.99,2024-01-12,completed
"34d65879-e4ee-4b9a-b5e1-bde880370ff3",888,9.99,2024-01-19,completed
"38394914-5fe2-4035-a859-5ac3e801bf83",1051,9.99,2024-03-03,completed
"52855f9a-3fc6-46d4-9120-700635566a67",1062,9.99,2024-02-04,completed
b44d898b-7d7c-4cd8-b200-b96c150a2d3a,1070,9.99,2024-02-22,completed
"012fd5d9-d260-407b-b2a2-a03a75101c45",1134,9.99,2024-02-19,completed
"3190fe94-335f-40c9-86ea-f52b709d3908",1287,9.99,2024-02-02,completed
d9a0d694-0f38-4e1a-a265-2d75f0582945,1538,9.99,2024-02-17,completed
ccef0e63-55e9-40d5-87a5-635defc1a787,1573,9.99,2024-01-27,completed
f50b46ba-c974-4617-9589-07a58131c741,1624,9.99,2024-03-02,completed
